,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산구,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997
성동구,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0
광진구,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997
동대문구,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997
중랑구,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0
성북구,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0
강북구,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0
도봉구,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.12499999999999997,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.0,0.0,0.0
